prefix,uri
dul,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#
swrl,http://www.w3.org/2003/11/swrl#
cert,http://www.w3.org/ns/auth/cert#
ac,http://umbel.org/umbel/ac/
fabio,http://purl.org/spar/fabio/
edm,http://www.europeana.eu/schemas/edm/
aat,http://vocab.getty.edu/aat/
ore,http://www.openarchives.org/ore/terms/
cnt,http://www.w3.org/2011/content#
swrcfe,http://www.morelab.deusto.es/ontologies/swrcfe#
gvp,http://vocab.getty.edu/ontology#
eat,http://www.eat.rl.ac.uk/#
gtfs,http://vocab.gtfs.org/terms#
prism,http://prismstandard.org/namespaces/basic/2.0/
swrlb,http://www.w3.org/2003/11/swrlb#
nfo,http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#
sf,http://www.opengis.net/ont/sf#
voaf,http://purl.org/vocommons/voaf#
sh,http://www.w3.org/ns/shacl#
core,http://vivoweb.org/ontology/core#
tgn,http://vocab.getty.edu/tgn/
test,http://test.example.com/
eg,http://www.example.org/
ulan,http://vocab.getty.edu/ulan/
uniprot,http://purl.uniprot.org/uniprot/
scovo,http://purl.org/NET/scovo#
wdt,http://www.wikidata.org/prop/direct/
room,http://vocab.deri.ie/rooms#
dbc,http://dbpedia.org/resource/Category:
sioct,http://rdfs.org/sioc/types#
ldp,http://www.w3.org/ns/ldp#
siocserv,http://rdfs.org/sioc/services#
ssn,http://www.w3.org/ns/ssn/
geoes,http://geo.linkeddata.es/resource/
lv,http://purl.org/lobid/lv#
coref,http://www.rkbexplorer.com/ontologies/coref#
drugbank,http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/
go,http://purl.org/obo/owl/GO#
ptr,http://www.w3.org/2009/pointers#
ceo,https://linkeddata.cultureelerfgoed.nl/def/ceo#
dbprop,http://dbpedia.org/property/
bif,http://www.openlinksw.com/schemas/bif#
acc,http://purl.org/NET/acc#
pmlj,http://inference-web.org/2.0/pml-justification.owl#
lexinfo,http://www.lexinfo.net/ontology/3.0/lexinfo#
music,http://musicontology.com/
georss,http://www.georss.org/georss/
gold,http://purl.org/linguistics/gold/
movie,http://data.linkedmdb.org/resource/movie/
doc,http://www.w3.org/2000/10/swap/pim/doc#
xml,http://www.w3.org/XML/1998/namespace/
am,http://vocab.deri.ie/am#
nsogi,http://prefix.cc/nsogi:
dce,http://purl.org/dc/elements/1.1/
whois,http://www.kanzaki.com/ns/whois#
nmo,http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#
cco,http://www.ontologyrepository.com/CommonCoreOntologies/
ping,https://namso-gen.com/
gndo,http://d-nb.info/standards/elementset/gnd#
itsrdf,http://www.w3.org/2005/11/its/rdf#
mods,http://www.loc.gov/mods/v3#
rsa,http://www.w3.org/ns/auth/rsa#
dblp,http://dblp.uni-trier.de/rdf/schema-2015-01-26#
pat,http://purl.org/hpi/patchr#
rec,http://purl.org/ontology/rec/core#
wp,http://vocabularies.wikipathways.org/wp#
ro,http://purl.org/obo/owl/ro#
wikidata,http://www.wikidata.org/entity/
nao,http://www.semanticdesktop.org/ontologies/2007/08/15/nao#
java,http://www.w3.org/2007/uwa/context/java.owl#
product,http://purl.org/commerce/product#
cerif,http://spi-fm.uca.es/neologism/cerif#
space,http://purl.org/net/schemas/space/
bd,http://www.bigdata.com/rdf#
sec,https://w3id.org/security#
sparql,http://www.w3.org/ns/sparql#
loc,http://www.w3.org/2007/uwa/context/location.owl#
ti,http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#
up,http://purl.uniprot.org/core/
imm,http://schemas.microsoft.com/imm/
akts,http://www.aktors.org/ontology/support#
geosparql,http://www.opengis.net/ont/geosparql#
fise,http://fise.iks-project.eu/ontology/
gnd,http://d-nb.info/gnd/
gd,http://rdf.data-vocabulary.org/#
leak,http://data.ontotext.com/resource/leak/
lgd,http://linkedgeodata.org/triplify/
list,http://www.w3.org/2000/10/swap/list#
acl,http://www.w3.org/ns/auth/acl#
chebi,http://bio2rdf.org/chebi:
meta,https://krr.triply.cc/krr/sameas-meta/def/
cito,http://purl.org/spar/cito/
wn,http://xmlns.com/wordnet/1.6/
sp,http://spinrdf.org/sp#
opm,https://w3id.org/opm#
sdo,https://schema.org/
httph,http://www.w3.org/2007/ont/httph#
cro,http://rhizomik.net/ontologies/copyrightonto.owl#
po,http://purl.org/ontology/po/
lode,http://linkedevents.org/ontology/
ms,http://purl.org/obo/owl/MS#
acm,http://www.rkbexplorer.com/ontologies/acm#
atom,http://www.w3.org/2005/Atom/
kb,http://deductions.sf.net/ontology/knowledge_base.owl#
dbpediaowl,http://dbpedia.org/owl/
xlink,https://es.scribd.com/doc/79794476/05-Ejercicios-Resueltos-Caja-Negra-y-Recapitulacion/
example,http://www.example.org/rdf#
sider,http://www4.wiwiss.fu-berlin.de/sider/resource/sider/
service,http://purl.org/ontology/service#
mf,http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#
ocd,http://dati.camera.it/ocd/
penn,http://purl.org/olia/penn.owl#
zoology,http://purl.org/NET/biol/zoology#
ecs,http://rdf.ecs.soton.ac.uk/ontology/ecs#
video,http://purl.org/ontology/video#
hg,http://rdf.histograph.io/
bp,http://www.biopax.org/release/biopax-level3.owl#
abc,http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#
geof,http://www.opengis.net/def/function/geosparql/
iot,http://iotschema.org/
ya,http://blogs.yandex.ru/schema/foaf/
formats,http://www.w3.org/ns/formats/
pr,http://purl.org/ontology/prv/core#
wn20schema,http://www.w3.org/2006/03/wn/wn20/schema/
web,http://www.w3.org/2007/uwa/context/web.owl#
wdrs,http://www.w3.org/2007/05/powder-s#
pext,http://www.ontotext.com/proton/protonext#
rdfsharp,https://rdfsharp.codeplex.com/
cube,https://cube.link/
wiki,http://en.wikipedia.org/wiki/
wgs,http://www.w3.org/2003/01/geo/wgs84_pos#
postcode,http://data.ordnancesurvey.co.uk/id/postcodeunit/
ass,http://uptheasset.org/ontology#
user,http://schemas.talis.com/2005/user/schema#
prv,http://purl.org/net/provenance/ns#
admingeo,http://data.ordnancesurvey.co.uk/ontology/admingeo/
umbelrc,http://umbel.org/umbel/rc/
cpa,http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#
olia,http://purl.org/olia/olia.owl#
irw,http://www.ontologydesignpatterns.org/ont/web/irw.owl#
wo,http://purl.org/ontology/wo/
smf,http://topbraid.org/sparqlmotionfunctions#
organism,http://eulersharp.sourceforge.net/2003/03swap/organism#
nco,http://www.semanticdesktop.org/ontologies/2007/03/22/nco#
pav,http://purl.org/pav/
sim,http://www.w3id.org/simulation/ontology/
daml,http://www.daml.org/2001/03/daml+oil#
st,http://ns.inria.fr/sparql-template/
cgov,http://reference.data.gov.uk/def/central-government/
ignf,http://data.ign.fr/def/ignf#
swid,http://semanticweb.org/id/
ndl,http://schemas.ogf.org/nml/2013/05/base#
spin,http://spinrdf.org/spin#
nt,http://ns.inria.fr/nicetag/2010/09/09/voc#
hydra,http://www.w3.org/ns/hydra/core#
eu,http://eulersharp.sourceforge.net/2003/03swap/log-rules#
xl,http://langegger.at/xlwrap/vocab#
site,http://ns.ontowiki.net/SysOnt/Site/
pmt,http://tipsy.googlecode.com/svn/trunk/vocab/pmt#
pim,http://www.w3.org/ns/pim/space#
omt,http://purl.org/ontomedia/ext/common/trait#
ontolex,http://www.w3.org/ns/lemon/ontolex#
api,http://purl.org/linked-data/api/vocab#
purl,http://www.purl.org/
dbnary,http://kaiko.getalp.org/dbnary#
overheid,http://standaarden.overheid.nl/owms/
sesame,http://www.openrdf.org/schema/sesame#
cidoc,http://www.cidoc-crm.org/cidoc-crm/
exterms,http://www.example.org/terms/
dcatapit,http://dati.gov.it/onto/dcatapit#
bag,https://bag2.basisregistraties.overheid.nl/bag/def/
vivo,http://vivoweb.org/ontology/core#
sit,http://www.ontologydesignpatterns.org/cp/owl/situation.owl#
agg,http://purl.org/twc/health/vocab/aggregate/
label,http://purl.org/net/vocab/2004/03/label#
link,http://www.w3.org/2007/ont/link#
biol,http://purl.org/NET/biol/ns#
sdl,http://purl.org/vocab/riro/sdl#
gsp,http://www.opengis.net/ont/geosparql#
resist,http://www.rkbexplorer.com/ontologies/resist#
xkos,http://rdf-vocabulary.ddialliance.org/xkos#
scot,http://rdfs.org/scot/ns#
pgterms,http://www.gutenberg.org/2009/pgterms/
omb,http://purl.org/ontomedia/ext/common/being#
protege,http://protege.stanford.edu/system#
sco,http://purl.org/ontology/sco#
seas,https://w3id.org/seas/
disco,http://rdf-vocabulary.ddialliance.org/discovery#
lime,http://www.w3.org/ns/lemon/lime#
wv,http://vocab.org/waiver/terms/
fed,http://www.openrdf.org/config/sail/federation#
wgs84,http://www.w3.org/2003/01/geo/wgs84_pos#
biocore,http://bio2rdf.org/core#
edam,http://edamontology.org/
npg,http://ns.nature.com/terms/
inno,http://purl.org/innovation/ns#
lx,http://purl.org/NET/lx#
fresnel,http://www.w3.org/2004/09/fresnel#
oc,http://opencoinage.org/rdf/
prj,http://purl.org/stuff/project/
uco,http://purl.org/uco/ns#
umbel,http://umbel.org/umbel#
spl,http://spinrdf.org/spl#
acco,http://purl.org/acco/ns#
code,http://telegraphis.net/ontology/measurement/code#
audio,http://purl.org/media/audio#
mit,http://purl.org/ontology/mo/mit#
myspo,http://purl.org/ontology/myspace#
food,http://purl.org/foodontology#
swp,http://www.w3.org/2004/03/trix/swp-2/
faldo,http://biohackathon.org/resource/faldo#
ref,http://purl.org/vocab/relationship/
rdau,http://rdaregistry.info/Elements/u/
tmo,http://www.semanticdesktop.org/ontologies/2008/05/20/tmo#
lgdo,http://linkedgeodata.org/ontology/
so,http://schema.org/
ddc,http://purl.org/NET/decimalised#
es,http://eulersharp.sourceforge.net/2003/03swap/log-rules#
res,http://dbpedia.org/resource/
greg,http://kasei.us/about/foaf.xrdf#
fec,http://www.rdfabout.com/rdf/schema/usfec/
dctype,http://purl.org/dc/dcmitype/
blt,http://www.bl.uk/schemas/bibliographic/blterms#
ean,http://openean.kaufkauf.net/id/
dcm,http://purl.org/dc/dcmitype/
bio2rdf,http://bio2rdf.org/
gpt,http://purl.org/vocab/riro/gpt#
granatum,http://chem.deri.ie/granatum/
meteo,http://purl.org/ns/meteo#
efo,http://www.ebi.ac.uk/efo/
gso,http://www.w3.org/2006/gen/ont#
dbkwik,http://dbkwik.webdatacommons.org/
cordis,http://cordis.europa.eu/projects/
ps,https://w3id.org/payswarm#
lfn,http://www.dotnetrdf.org/leviathan#
rnews,http://iptc.org/std/rNews/2011-10-07#
doac,http://ramonantonio.net/doac/0.1/#
opensearch,http://a9.com/-/spec/opensearch/1.1/
oauth,http://demiblog.org/vocab/oauth#
politico,http://www.rdfabout.com/rdf/schema/politico/
library,http://purl.org/library/
dwc,http://rs.tdwg.org/dwc/terms/
conv,http://purl.org/twc/vocab/conversion/
phil,http://philosurfical.open.ac.uk/ontology/philosurfical.owl#
bibtex,http://purl.org/net/nknouf/ns/bibtex#
dco,http://info.deepcarbon.net/schema#
rov,http://www.w3.org/ns/regorg#
doclist,http://www.junkwork.net/xml/DocumentList#
xhe,http://buzzword.org.uk/rdf/xhtml-elements#
contact,http://www.w3.org/2000/10/swap/pim/contact#
spc,http://purl.org/ontomedia/core/space#
taxo,http://purl.org/rss/1.0/modules/taxonomy/
awol,http://bblfish.net/work/atom-owl/2006-06-06/#
omp,http://purl.org/ontomedia/ext/common/profession#
name,http://example.org/name#
powder,http://www.w3.org/2007/05/powder#
rail,http://ontologi.es/rail/vocab#
xen,http://buzzword.org.uk/rdf/xen#
obj,http://www.openrdf.org/rdf/2009/object#
sport,http://purl.org/ontology/sport/
lfm,http://purl.org/ontology/last-fm/
airport,http://www.daml.org/2001/10/html/airport-ont#
climb,http://climb.dataincubator.org/vocabs/climb/
tdb,http://jena.hpl.hp.com/2008/tdb#
resource,http://dbpedia.org/resource/
lom,http://ltsc.ieee.org/rdf/lomv1p0/lom#
compass,http://purl.org/net/compass#
ub,http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#
game,http://data.totl.net/game/
pbo,http://purl.org/ontology/pbo/core#
os,http://www.w3.org/2000/10/swap/os#
string,http://www.w3.org/2000/10/swap/string#
atomix,http://buzzword.org.uk/rdf/atomix#
rdrel,http://rdvocab.info/RDARelationshipsWEMI/
rei,http://www.w3.org/2004/06/rei#
custom,http://www.openrdf.org/config/sail/custom#
frir,http://purl.org/twc/ontology/frir.owl#
omm,http://purl.org/ontomedia/core/media#
ngeo,http://geovocab.org/geometry#
omc,http://purl.org/ontomedia/ext/common/bestiary#
wikipedia,http://wikipedia.no/rdf/
ero,http://purl.obolibrary.org/obo/
role,https://w3id.org/role/
lang,http://ontologi.es/lang/core#
money,http://purl.org/net/rdf-money/
sede,http://eventography.org/sede/0.1/
rep,http://www.openrdf.org/config/repository#
usgov,http://www.rdfabout.com/rdf/schema/usgovt/
isothes,http://purl.org/iso25964/skos-thes#
pom,http://maven.apache.org/POM/4.0.0#
ire,http://www.ontologydesignpatterns.org/cpont/ire.owl#
iso,http://purl.org/iso25964/skos-thes#
dailymed,http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/
swh,http://plugin.org.uk/swh-plugins/
interval,http://reference.data.gov.uk/def/intervals/
net,http://www.w3.org/2007/uwa/context/network.owl#
nrl,http://www.semanticdesktop.org/ontologies/2007/08/15/nrl#
hard,http://www.w3.org/2007/uwa/context/hardware.owl#
soft,http://www.w3.org/2007/uwa/context/software.owl#
iao,http://purl.obolibrary.org/obo/IAO_
conversion,http://purl.org/twc/vocab/conversion/
bib,http://zeitkunst.org/bibtex/0.1/bibtex.owl#
ao,http://purl.org/ontology/ao/core#
ct,http://data.linkedct.org/resource/linkedct/
won,https://w3id.org/won/core#
affy,http://www.affymetrix.com/community/publications/affymetrix/tmsplice#
muto,http://purl.org/muto/core#
cpm,http://catalogus-professorum.org/cpm/2/
chord,http://purl.org/ontology/chord/
push,http://www.w3.org/2007/uwa/context/push.owl#
xro,http://purl.org/xro/ns#
crypto,http://www.w3.org/2000/10/swap/crypto#
gob,http://purl.org/ontology/last-fm/
cycann,http://sw.cyc.com/CycAnnotations_v1#
ui,http://www.w3.org/ns/ui#
bibframe,http://id.loc.gov/ontologies/bibframe/
courseware,http://courseware.rkbexplorer.com/ontologies/courseware#
dnr,http://www.dotnetrdf.org/configuration#
gml,http://www.opengis.net/ont/gml#
act,http://www.w3.org/2007/rif-builtin-action#
wordnet,http://wordnet-rdf.princeton.edu/ontology#
bmo,http://collection.britishmuseum.org/id/ontology/
txn,http://lod.taxonconcept.org/ontology/txn.owl#
profiling,http://ontologi.es/profiling#
is,http://purl.org/ontology/is/core#
coo,http://purl.org/coo/ns#
coin,http://purl.org/court/def/2009/coin#
worldbank,http://worldbank.270a.info/dataset/
rdac,http://rdaregistry.info/Elements/c/
eco,http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#
asn,http://purl.org/ASN/schema/core/
sv,http://schemas.talis.com/2005/service/schema#
swivt,http://semantic-mediawiki.org/swivt/1.0#
saref,https://saref.etsi.org/core/
aos,http://rdf.muninn-project.org/ontologies/appearances#
ludo,http://ns.inria.fr/ludo/v1#
wdr,http://www.w3.org/2007/05/powder#
lu,http://www.ontologydesignpatterns.org/ont/framenet/abox/lu/
aifb,http://www.aifb.kit.edu/id/
person,http://www.w3.org/ns/person#
premis,http://www.loc.gov/premis/rdf/v3/
locn,http://www.w3.org/ns/locn#
com,http://purl.org/commerce#
vsr,http://purl.org/twc/vocab/vsr#
dcmitype,http://purl.org/dc/dcmitype/
opo,http://online-presence.net/opo/ns#
isq,http://purl.org/ontology/is/quality/
dady,http://purl.org/NET/dady#
mysql,http://web-semantics.org/ns/mysql/
hlisting,http://sindice.com/hlisting/0.1/
biopax,http://www.biopax.org/release/biopax-level3.owl#
scv,http://purl.org/NET/scovo#
ist,http://purl.org/ontology/is/types/
tio,http://purl.org/tio/ns#
moat,http://moat-project.org/ns#
resex,http://resex.rkbexplorer.com/ontologies/resex#
mime,https://www.iana.org/assignments/media-types/
oad,http://lod.xdams.org/reload/oad/
pdo,http://ontologies.smile.deri.ie/pdo#
conserv,http://conserv.deri.ie/ontology#
euvoc,http://publications.europa.eu/ontology/euvoc#
lvont,http://lexvo.org/ontology#
cheminf,http://www.semanticweb.org/ontologies/cheminf.owl#
isi,http://purl.org/ontology/is/inst/
vote,http://www.rdfabout.com/rdf/schema/vote/
dso,http://purl.org/ontology/dso#
cogs,http://vocab.deri.ie/cogs#
arch,http://purl.org/archival/vocab/arch#
sml,http://topbraid.org/sparqlmotionlib#
rdfa,http://www.w3.org/ns/rdfa#
tags,http://www.holygoat.co.uk/owl/redwood/0.1/tags/
ttl,http://www.w3.org/2008/turtle#
pro,http://purl.org/hpi/patchr#
puc,http://purl.org/NET/puc#
muo,http://purl.oclc.org/NET/muo/muo#
urn,http://fliqz.com/
yoda,http://purl.org/NET/yoda#
xds,http://www.w3.org/2001/XMLSchema#
swanco,http://purl.org/swan/1.2/swan-commons/
payment,http://reference.data.gov.uk/def/payment#
lotico,http://www.lotico.com/resource/
soc,http://purl.org/net/hdlipcores/ontology/soc#
nexif,http://www.semanticdesktop.org/ontologies/2007/05/10/nexif#
vso,http://purl.org/vso/ns#
common,http://www.w3.org/2007/uwa/context/common.owl#
lex,http://purl.org/lex#
sail,http://www.openrdf.org/config/sail#
cpv,http://purl.org/weso/cpv/
deo,http://purl.org/spar/deo/
prot,http://www.proteinontology.info/po.owl#
freebase,http://rdf.freebase.com/ns/
ddl,http://purl.org/vocab/riro/ddl#
cos,http://www.inria.fr/acacia/corese#
lifecycle,http://purl.org/vocab/lifecycle/schema#
states,http://www.w3.org/2005/07/aaa#
like,http://ontologi.es/like#
apivc,http://purl.org/linked-data/api/vocab#
posh,http://poshrdf.org/ns/posh/
oat,http://openlinksw.com/schemas/oat/
arg,http://rdfs.org/sioc/argument#
nsa,http://multimedialab.elis.ugent.be/organon/ontologies/ninsuna#
meetup,http://www.lotico.com/meetup/
fab,http://purl.org/fab/ns#
p3p,http://www.w3.org/2002/01/p3prdfv1#
taxon,http://purl.org/biodiversity/taxon/
toby,http://tobyinkster.co.uk/#
cex,http://purl.org/weso/ontology/computex#
anca,http://users.utcluj.ro/~raluca/rdf_ontologies_ralu/ralu_modified_ontology_pizzas2_0#
pmlr,http://inference-web.org/2.0/pml-relation.owl#
ann,http://www.w3.org/2000/10/annotation-ns#
bsbm,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/
bbc,http://www.bbc.co.uk/ontologies/news/
bte,http://purl.org/twc/vocab/between-the-edges/
xforms,http://www.w3.org/2002/xforms/
swanqs,http://purl.org/swan/1.2/qualifiers/
enc,http://www.w3.org/2001/04/xmlenc#
sysont,http://ns.ontowiki.net/SysOnt/
olo,http://purl.org/ontology/olo/core#
bsb,http://opacplus.bsb-muenchen.de/title/
irrl,http://www.ontologydesignpatterns.org/cp/owl/informationobjectsandrepresentationlanguages.owl#
uri,http://purl.org/NET/uri#
ic,http://imi.go.jp/ns/core/rdf#
viaf,http://viaf.org/viaf/
zem,http://s.zemanta.com/ns#
play,http://uriplay.org/spec/ontology/#
dbpp,http://dbpedia.org/property/
eli,http://data.europa.eu/eli/ontology#
mei,http://www.music-encoding.org/ns/mei/
fea,http://vocab.data.gov/def/fea#
bing,http://bing.com/schema/media/
wordmap,http://purl.org/net/ns/wordmap#
odrl,http://www.w3.org/ns/odrl/2/
psych,http://purl.org/vocab/psychometric-profile/
iswc,http://annotation.semanticweb.org/2004/iswc#
evset,http://dsnotify.org/vocab/eventset/0.1/
rdagr1,http://rdvocab.info/Elements/
address,http://schemas.talis.com/2005/address/schema#
lastfm,http://purl.org/ontology/last-fm/
voag,http://voag.linkedmodel.org/schema/voag#
linkedmdb,http://data.linkedmdb.org/
lp,http://launchpad.net/rdf/launchpad#
drug,http://www.agfa.com/w3c/2009/drugTherapy#
eztag,http://ontologies.ezweb.morfeo-project.org/eztag/ns#
icaltzd,http://www.w3.org/2002/12/cal/icaltzd#
mm,http://linkedmultimedia.org/sparql-mm/ns/2.0.0/function#
